State of legal residence (student) 2003-04,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Puerto Rico,Overseas territories and military,Foreign countries
    Total,1.4562,0.2191,2.0038,0.2881,11.4587,0.851,1.1278,0.2141,0.1652,6.4691,3.1057,0.2606,0.6501,4.2645,2.3547,0.9835,1.908,1.3207,0.9083,0.1666,1.5329,2.2986,2.9616,1.6654,1.205,1.5266,0.5864,0.4808,0.328,0.1982,2.7,0.7543,5.5705,1.7524,0.2336,3.9722,1.5407,1.2025,4.1683,0.5911,0.7961,0.1499,2.3296,8.2688,1.1958,0.1153,1.9605,2.4107,0.9605,3.3888,0.223,1.2307,0.0624,1.4628
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institution state 2003-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Utah,0,0,0.4908,0,2.2385,0.8125,0,0,0,0,0,0,2.1453,0.2645,0.1077,0,0,0,0,0,0,0,0.0753,0,0,0.2171,0,0,0.1432,0,0,0.9453,0,0,0,0,0.3999,0.805,0.4784,0,0,0,0,1.807,86.25,0,0,1.1461,0,0.0652,0,0,0,1.6082
  Vermont,0,0,0,0,0,0,10.9432,1.8577,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8327,0,0,0,0,0,0,0,12.4518,8.0078,0,9.0069,1.0307,0,0,0,0,3.9653,0,0,0,0,0,0,40.9039,0,0,0,0,0,0,0,0
  Virginia,0,0,0.1412,0.8732,0,0,0.4469,0,0.3894,0,0,0,0,0.3919,0.4196,0,0,0,0,0.3379,5.0007,0.99,0.3145,0,0,0,0.0048,0,0,0,0.9722,0.3214,1.3704,1.7376,0,0.8559,0,0,0.0491,0,0,0,0,0,0,0,83.8636,0,0.8322,0,0,0,0,0.6875
  Washington,0.3542,0.2588,0.3049,0,1.4652,0.1879,0,0,0,0,0.1484,0.2653,0.7212,0,0,0.1524,0,0.1022,0,0.0198,0,0,0.1402,0.305,0,0,0.7242,0,0.1229,0,0,0.0742,0,0,0,0.1484,0,4.4539,0,0,0,0,0,0,0,0,0,86.8055,0.2406,0,0,0,0,3.0049
  West Virginia,0,0,0,0,0.3421,0.9533,0,0.6802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1378,0,0,0,10.1064,0,0,0,0,0,0,0,0,0,0,1.954,0.6486,83.068,0,0,0,0,1.1095
  Wisconsin,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1485,0.0411,0.1451,0,0,0,0,0,0,0,1.7454,0,0.1075,0,0,0,0,0,0,0,0,0,0,0,0,0.1912,0,0,0,0,0,0,0.0942,0,0,0,96.0198,0,0,0,0.5071
  Wyoming,0,0,0,0,0,4.9122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1856,0,0,0,0,0,0,1.5189,1.9705,0,0,0,0,0,4.6127,0,0,0,0,0,0,0,0,81.8002,0,0,0
  Puerto Rico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.438,0,0
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distance from first institution 2003-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  0 < X < 5,1.4791,0.2835,2.916,0.2528,12.7325,0.7567,1.2552,0.1329,0.2167,6.8885,2.5303,0.2544,0.7952,3.4609,1.9863,0.7192,2.1554,0.7908,1.064,0.039,1.3886,2.1122,4.2423,1.4304,0.6639,1.2626,0.8193,0.3473,0.4994,0.0873,2.6826,0.7224,5.4716,0.9213,0.1343,4.3301,1.3646,1.6322,3.8867,0.597,0.4689,0.0526,1.3598,9.4113,1.9159,0,1.1492,2.3064,1.3166,2.8005,0.5273,1.3101,0.106,1.9704
  6 < X < 10,1.1599,0,2.75,0.0549,13.8582,0.6704,0.8536,0.2888,0.1065,8.3856,2.9305,0.0216,0.6721,6.34,1.7333,0.0114,2.2254,1.7754,0.7022,0,1.4845,0.9259,2.4823,1.197,1.1324,1.4847,0.0776,0.4717,0.4623,0,2.9027,1.0611,5.2372,0.7569,0.2363,3.1211,1.6594,0.7988,4.9942,0.4405,0.2951,0,4.5007,9.2943,0.8475,0,0.3933,2.8962,0.6109,2.2264,0,1.5976,0,1.8713
  11 < X < 20,0.9209,0.0689,1.5215,0.0977,12.7076,0.5716,0.6808,0.2629,0.0695,8.9423,3.2703,0.2844,0.4541,4.0007,1.9034,0.3148,1.5047,0.7466,0.7165,0.003,1.4048,1.4528,2.5304,1.6595,1.3946,1.219,0.0636,0.2443,0.2619,0.1764,3.1261,1.1462,5.2198,0.7697,0.0924,4.8902,1.9908,1.5575,5.3348,0.4384,0.9216,0.0753,2.5089,8.6371,1.7276,0,1.6995,2.8496,1.9629,3.2838,0,1.2177,0.0188,1.0819
  21 < X < 50,1.4681,0.1601,1.78,0.1974,10.7154,0.8524,1.0097,0.1235,0.182,6.0749,3.3617,0.3835,0.4115,3.9402,3.087,1.0559,1.7034,1.7856,0.6991,0.1055,1.5938,2.5739,3.2255,1.4114,2.2594,2.5575,0.5445,0.2889,0.0582,0.113,3.2064,0.4109,5.394,1.4163,0.1339,3.9347,1.533,0.9172,5.5923,0.5035,0.6956,0.1002,3.4811,8.0209,1.178,0.0298,1.6085,1.5718,1.2193,3.1591,0.0724,1.5992,0,0.4987
  51 < X < 100,1.8118,0,0.2906,0.408,9.0887,1.2282,1.3361,0.3843,0,2.9333,3.259,0.1372,0.8379,3.7725,3.819,2.3949,1.5774,1.8159,1.3649,0.2709,2.6312,3.0112,1.9446,2.2717,2.0751,1.5313,0.628,0.8573,0.1043,0.4924,2.5564,0.2766,4.9113,4.0974,0.3476,3.7077,2.8781,0.6482,3.5308,0.4938,1.5999,0.3133,1.9496,6.9674,0.6985,0.0963,4.2292,1.6114,0.341,4.4444,0.2602,1.5259,0,0.2374
  101 < X < 200,1.6752,0.1896,0.9744,0.6354,4.0717,0.8596,1.4589,0.2531,0.098,2.7464,2.2856,0,0.2884,8.1663,4.3286,1.6401,2.0703,1.5054,1.054,0.8145,1.311,2.003,2.7586,2.6066,1.3016,2.87,1.4659,1.1577,0,0.6279,2.0571,0.0646,5.8181,6.4446,0.4509,5.1777,1.9395,0.9207,4.071,0.3147,1.4647,0.5321,1.1955,6.0359,0.1236,0.2064,4.6443,0.8211,0.3387,5.47,0,0.161,0,0.5299
